process_time_us,avg_input_time_ns,avg_input_pkts
0,323.0,3.3333333333333335
1,392.6666666666667,5.666666666666667
2,553.3333333333334,12.333333333333334
3,957.6666666666666,21.666666666666668
4,1319.0,29.0
5,1450.3333333333333,34.333333333333336
6,1523.6666666666667,41.0
7,2040.3333333333333,50.0
8,2140.3333333333335,55.333333333333336
9,2503.3333333333335,62.0
10,2700.0,70.0
11,2995.0,77.33333333333333
12,3258.3333333333335,83.0
13,3485.3333333333335,91.33333333333333
14,4065.6666666666665,99.66666666666667
15,4195.0,104.33333333333333
16,4117.0,108.66666666666667
17,4221.333333333333,114.0
18,4009.3333333333335,116.0
19,5366.666666666667,129.66666666666666
20,5159.666666666667,133.33333333333334
21,5385.666666666667,137.33333333333334
22,5734.0,143.33333333333334
23,5321.333333333333,142.0
24,5882.0,144.33333333333334
25,5376.666666666667,142.33333333333334
26,5378.666666666667,142.33333333333334
27,4937.0,140.66666666666666
28,5817.666666666667,143.33333333333334
29,5413.666666666667,141.66666666666666
30,4783.666666666667,139.33333333333334
31,4948.333333333333,139.66666666666666
32,5240.333333333333,141.33333333333334
33,6151.0,144.66666666666666
34,5279.0,141.0
35,5843.666666666667,143.33333333333334
36,5169.0,140.66666666666666
37,5639.666666666667,142.66666666666666
38,5076.333333333333,140.66666666666666
39,6848.666666666667,147.33333333333334
40,5204.666666666667,141.0
41,5959.0,143.66666666666666
42,4448.666666666667,138.0
43,5423.333333333333,141.66666666666666
44,5554.333333333333,142.0
45,5892.333333333333,143.66666666666666
46,5236.0,141.33333333333334
47,5772.0,143.0
48,5857.0,143.33333333333334
49,5698.333333333333,143.0
